,artist,followers,genre,popularity,main_genre
748,New Order,1613162,"['art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",69,art rock
749,Emily Haines & The Soft Skeleton,38290,['indie pop'],35,indie pop
750,Rae Sremmurd,6668780,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,hip hop
751,The Last Shadow Puppets,824313,"['alternative rock', 'baroque pop', 'indie rock', 'modern rock', 'rock', 'sheffield indie']",63,alternative rock
762,Fetty Wap,4204474,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,new jersey rap
763,Jodie Mitchell,2084,[],27,
764,Men Without Hats,158791,"['classic canadian rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",57,classic canadian rock
765,Local Natives,584435,"['chillwave', 'indie folk', 'indie pop', 'indie rock', 'la indie', 'modern rock', 'pop rock', 'stomp and holler']",64,chillwave
800,James Vincent McMorrow,567263,"['indie folk', 'irish singer-songwriter', 'neo mellow']",63,indie folk
821,Funeral Suits,43626,['shimmer pop'],36,shimmer pop
832,EL VY,66974,[],37,
843,Deep Sea Diver,34690,"['indie surf', 'seattle indie']",44,indie surf
852,Damien Rice,980885,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",64,acoustic pop
878,Broken Bells,513621,"['alternative dance', 'alternative rock', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'new rave', 'rock', 'shimmer pop']",61,alternative dance
907,Best Coast,298033,"['indie pop', 'indie rock', 'indie surf', 'la indie', 'metropopolis']",52,indie pop
919,The Magic Numbers,78432,[],44,
933,The Kills,618405,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern blues rock', 'modern rock', 'new rave', 'rock']",55,alternative dance
934,The Black Keys,3593491,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",74,alternative rock
935,Mr Hudson,23247,[],60,
950,Earl Sweatshirt,1634765,"['alternative hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",73,alternative hip hop
951,Little Green Cars,59938,"['irish rock', 'melancholia', 'metropopolis', 'shimmer pop', 'shiver pop', 'stomp and holler']",40,irish rock
963,Jimmy Eat World,1240303,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",70,alternative rock
977,Stereophonics,1229295,"['britpop', 'modern rock', 'pop rock', 'rock', 'welsh rock']",67,britpop
989,Led Zeppelin,11578146,"['album rock', 'classic rock', 'hard rock', 'rock']",80,album rock
1031,The Killers,6312929,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",80,alternative rock
1032,The Libertines,735680,"['alternative rock', 'britpop', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'rock']",60,alternative rock
1033,The Automatic,21246,['welsh rock'],17,welsh rock
1035,DBFC,7872,['french indie pop'],30,french indie pop
1037,Johnny Cash,5042614,"['arkansas country', 'outlaw country']",78,arkansas country
1039,Kings of Leon,4891789,"['modern rock', 'rock']",77,modern rock
1040,Sweet,338292,"['album rock', 'blues rock', 'classic rock', 'classic uk pop', 'glam rock', 'hard rock', 'rock']",62,album rock
1055,The White Stripes,2580217,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",74,alternative rock
1068,U2,9133335,"['irish rock', 'permanent wave', 'rock']",81,irish rock
1069,The Temper Trap,631478,"['alternative dance', 'australian indie', 'indie rock', 'modern rock', 'pop rock']",63,alternative dance
1070,The Surfaris,30945,['surf music'],44,surf music
1103,Simon & Garfunkel,3790924,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",74,classic rock
1125,Paul Simon,1762351,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",71,classic rock
1139,Brave Giant,9441,['irish indie'],33,irish indie
1192,Link Wray,79100,"['cosmic american', 'native american', 'punk blues', 'rock-and-roll', 'rockabilly', 'surf music']",49,cosmic american
1193,Bloc Party,984856,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock']",65,alternative dance
1239,Chet Faker,240515,"['art pop', 'indietronica']",66,art pop
1241,The Cinematic Orchestra,543300,"['downtempo', 'electronica', 'ninja', 'nu jazz']",66,downtempo
1243,Sticky Fingers,839062,"['australian reggae fusion', 'reggae fusion']",69,australian reggae fusion
1244,Nirvana,14224669,"['alternative rock', 'grunge', 'permanent wave', 'rock']",84,alternative rock
1247,Counting Crows,1405141,"['alternative rock', 'neo mellow', 'pop rock', 'rock']",70,alternative rock
1248,Paolo Nutini,1085476,"['british soul', 'neo mellow', 'scottish singer-songwriter']",66,british soul
1249,Bob Marley & The Wailers,10175844,"['reggae', 'roots reggae']",80,reggae
1250,Wheatus,110834,['pop rock'],62,pop rock
1251,Thin Lizzy,962583,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']",65,album rock
1252,Marty Mone,28048,['irish country'],47,irish country
1254,Bob Dylan,5422553,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",76,album rock
1255,The Animals,1913461,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'psychedelic rock', 'rock']",68,album rock
1256,Slipknot,7871205,"['alternative metal', 'nu metal', 'rap metal']",80,alternative metal
1286,Major Lazer,6252261,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",79,dance pop
1300,Louis The Child,428345,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",69,edm
1301,AC/DC,21654620,"['australian rock', 'hard rock', 'rock']",84,australian rock
1303,Silentó,223180,"['chicago bop', 'pinoy hip hop']",53,chicago bop
1304,The Weeknd,39722680,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,canadian contemporary r&b
1306,Adele,32236722,"['british soul', 'pop', 'pop soul', 'uk pop']",96,british soul
1309,The Beach Boys,3425106,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",77,baroque pop
1310,Eazy-E,3518756,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",66,g funk
1311,Wankelmut,106061,"['deep euro house', 'tropical house']",60,deep euro house
1313,N.W.A.,3808561,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",68,conscious hip hop
1314,The Dead Weather,375377,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'supergroup']",48,alternative rock
1315,Eagles,7456692,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",79,album rock
